,local,meta,
2,69.7580056027902,79.49,
4,,,
6,65.9387441695437,77.25,
10,0.615101078649392,0.745,
meta_10,0.7913,,
meta_2,0.796,,
meta_2,,,
meta_6,,,
local,,,
,meta,local,
Dev = 2,0.799,0.788895178618684,0.7794
4,0.7665,0.748742990455095,0.7287
6,7551,0.722882201091659,0.7172
8,0.7501,0.702217821218152,0.7021
10,0.731767254891615,0.704812676377615,0.703
16,0.7355,0.673251888339337,0.7065
heuristic_4,,,
heuristic_6,,,
heuristic_8,,,
heuristic_10,,,
heuristic_16,0.7071,,
heuristic_2,0.7671,,
heuristic_4,0.7157,,
heuristic_6,0.7059,,
heuristic_16,0.698,,
heuristic_2,0.786,,
heuristic_4,0.736,,
heuristic_6,0.7168,,
heuristic_8,0.7141,,
heuristic_10,0.7155,,
Local 2,0.819079107415833,,
Local 4,0.792714759001311,,
Local 6,0.7711875,,
Local 8,0.7461875,,
Local 10,0.71365625,,
Local 12,0.68025,,
Local 14,0.6616875,,
Local 16,0.63090625,,
