,0,4,6,8,10,16,32,,No global model
3,0.6715625,0.656,0.604,0.582,0.554,0.494,0.408,,0.495625
2.75,0.5271875,0.296,,,,,,,
2.5,0.4803125,0.306,,,,,,,
3,0.075,,,,,,,,
3,0.7246875,,,,,,,,
2.75,0.0678125,,,,,,,,
,,,,,,,,,
Delay ,(global aware local) ,meta,local only policy,,,,,,
0,0.8209375,,0.66125,,,,,,
2,0.795,,0.66125,,,,,,
4,0.76,0.7347,0.66125,,,,,,
6,0.688,0.7511,0.66125,,,,,,
8,0.652,0.7432,0.66125,,,,,,
16,0.569,0.7431,0.66125,,,,,,
32,0.497,0.7372,0.66125,,,,,,
local,0.66,,,,,,,,
,,,,,,,,,
10,73.47,,,,,,,,
local,0.66125,,,,,,,,
local,0.665625,,,,,,,,
local,0.67,,,,,,,,
local,0.681875,,,,,,,,
local,0.819903813883092,,,,,,,,
meta_4,0.735,,,,,,,,
meta_6,,,,,,,,,
meta_8,,,,,,,,,
meta_10,,,,,,,,,
meta_16,,,,,,,,,
meta_32,0.7591
meta_8,0.7452
meta_10,0.7508
meta_10,0.7949
meta_10,0.7725
